layer,geodesic_radius,tuned_v_loc,v_hubble_traditional,absolute_deviation_error,metric_superiority_pct
1,0.0231147712678556,113.26237921249265,1.5579355834534676,111.70444362903917912,98.62448979591836971
2,0.0462295425357112,113.26237921249265,3.115871166906935,110.14650804558571151,97.248979591836739414
3,0.0693443138035669,113.26237921249265,4.673806750360409,108.58857246213223746,95.87346938775510344
4,0.0924590850714225,113.26237921249265,6.2317423338138775,107.030636878678769186,94.497959183673472555
5,0.1155738563392781,113.26237921249265,7.789677917267344,105.47270129522530269,93.12244897959184325
6,0.1386886276071338,113.26237921249265,9.347613500720819,103.914765711771828194,91.746938775510206876
7,0.1618033988749894,113.26237921249265,10.905549084174286,102.356830128318360806,90.371428571428576784
8,0.1849181701428451,113.26237921249265,12.46348466762776,100.79889454486488631,88.99591836734694041
9,0.2080329414107007,113.26237921249265,14.021420251081228,99.240958961411418926,87.620408163265310314
10,0.2311477126785563,113.26237921249265,15.579355834534695,97.68302337795795154,86.244897959183680215
11,0.254262483946412,113.26237921249265,17.13729141798817,96.125087794504477046,84.86938775510204385
12,0.2773772552142677,113.26237921249265,18.695227001441644,94.56715221105100255,83.49387755102040748
